영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
더 배트맨,https://www.kobis.or.kr/common/mast/movie/2022/02/f7a10796a372481b95ef41fe98a455f3.jpg,더 배트맨.jpg,20212973,"장편 | 일반영화 | 액션, 범죄, 드라마 | 176분 1초 | 15세이상관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 로버트 패틴슨 | 폴 다노 | 조 크라비츠 | 앤디 서키스 | 제프리 라이트 | 콜린 파렐 | 피터 사스가드 | 존 터투로
씽2게더,https://www.kobis.or.kr/common/mast/movie/2022/01/5578011a39274ae8960b002f4eb5ba6b.jpg,씽2게더.jpg,20218764,장편 | 일반영화 | 애니메이션 | 109분 49초 | 전체관람가 | 미국,2D,[주연] 매튜 매커너히 | 리즈 위더스푼 | 스칼렛 요한슨 | 태런 에저튼 | 토리 켈리 | 할시 | 퍼렐 윌리엄스 | 보노
아쿠아맨과 로스트 킹덤,https://www.kobis.or.kr/common/mast/movie/2023/12/336e52139823454589f7226aed1e72d7.jpg,아쿠아맨과 로스트 킹덤.jpg,20235735,"장편 | 일반영화 | 액션, 어드벤처, 판타지 | 123분 59초 | 12세이상관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 제이슨 모모아 | 패트릭 윌슨 | 야히아 압둘 마틴 2세 | 앰버 허드 | 니콜 키드먼
인디아나 존스: 운명의 다이얼,https://www.kobis.or.kr/common/mast/movie/2023/06/f7ba6aee45314df4ae7c6d70abf9aba8.jpg,인디아나 존스- 운명의 다이얼.jpg,20232273,"장편 | 일반영화 | 어드벤처, 액션 | 154분 17초 | 12세이상관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 해리슨 포드(인디아나 존스)
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,https://www.kobis.or.kr/common/mast/movie/2022/09/9f0a6c11d44348d8b5dc432d031fe5ce.jpg,극장판 짱구는 못말려- 수수께끼! 꽃피는 천하떡잎학교.jpg,20226777,장편 | 일반영화 | 애니메이션 | 104분 37초 | 전체관람가 | 일본,2D,
장화신은 고양이: 끝내주는 모험,https://www.kobis.or.kr/common/mast/movie/2022/12/4ff6a7ee1db94c53b19e55aa58400fa8.jpg,장화신은 고양이- 끝내주는 모험.jpg,20224109,장편 | 일반영화 | 애니메이션 | 102분 14초 | 전체관람가 | 미국,"2D,3D",[주연] 안토니오 반데라스 | 셀마 헤이엑 | 올리비아 콜맨 | 하비 길렌 | 샘슨 카요 | 와그너 모라 | 안토니 멘데즈 | 존 멀레이니 | 플로렌스 퓨 | 더바인 조이 랜돌프 | 레이 윈스톤
명탐정코난: 흑철의 어영,https://www.kobis.or.kr/common/mast/movie/2023/07/ffd2c8072afc4550aaed65767beed8bf.jpg,명탐정코난- 흑철의 어영.jpg,20232536,장편 | 일반영화 | 애니메이션 | 109분 35초 | 12세이상관람가 | 일본,"2D,4D",
블랙 아담,https://www.kobis.or.kr/common/mast/movie/2022/09/7a1cd13a4ee8458cbf4be16f961319db.jpg,블랙 아담.jpg,20226886,"장편 | 일반영화 | 액션, 어드벤처, SF | 124분 43초 | 12세이상관람가 | 미국","2D,4D,IMAX,DOLBYCINEMA",[주연] 드웨인 존슨(블랙 아담) | 노아 센티네오(아톰 스매셔) | 피어스 브로스넌(닥터 페이트) | 퀸테사 스윈들(사이클론) | 알디스 호지(호크맨) | 사라 샤이(아드리아나)
킹메이커,https://www.kobis.or.kr/common/mast/movie/2022/01/fc7c230460244c598311f1141674b490.jpg,킹메이커.jpg,20188441,장편 | 일반영화 | 드라마 | 123분 20초 | 15세이상관람가 | 한국,2D,[주연] 설경구(김운범) | 이선균(서창대)
트랜스포머: 비스트의 서막,https://www.kobis.or.kr/common/mast/movie/2023/06/4e1a2d82f303483995869e342d43e2c0.jpg,트랜스포머- 비스트의 서막.jpg,20232025,장편 | 일반영화 | 액션 | 126분 56초 | 12세이상관람가 | 미국,"2D,3D,4D,IMAX,DOLBYCINEMA",[주연] 안소니 라모스 | 피터 딘클리지
