영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
깡철이,https://www.kobis.or.kr/common/mast/movie/2013/09/0f50b22d30244e78bd61a861684c3353.jpg,깡철이.jpg,20123381,"장편 | 일반영화 | 드라마, 액션, 가족 | 108분 14초 | 15세이상관람가 | 한국","필름,2D",[주연] 유아인(강철) | 김해숙(순이) | 정유미(수지)
시간이탈자,https://www.kobis.or.kr/common/mast/movie/2016/03/749cdbe8276e4910ac91588233afc785.jpg,시간이탈자.jpg,20142621,장편 | 일반영화 | 스릴러 | 107분 9초 | 15세이상관람가 | 한국,2D,[주연] 임수정(윤정/소은) | 조정석(지환) | 이진욱(건우)
R2B: 리턴투베이스,https://www.kobis.or.kr/common/mast/movie/2012/07/995a14f559a74114bad7a4337dad3a7e.jpg,R2B- 리턴투베이스.jpg,20124049,"장편 | 일반영화 | 액션, 드라마 | 113분 0초 | 15세이상관람가 | 한국","필름,2D,4D",[주연] 정지훈(정태훈) | 유준상(이철희) | 신세경(유세영) | 김성수(박대서)
해빙,https://www.kobis.or.kr/common/mast/movie/2017/02/ab3403cb519842e1b661a10f74bd6e1e.jpg,해빙.jpg,20150971,장편 | 일반영화 | 스릴러 | 117분 10초 | 15세이상관람가 | 한국,2D,[주연] 조진웅(승훈) | 신구(정노인) | 김대명(성근)
더 웹툰: 예고살인,https://www.kobis.or.kr/common/mast/movie/2013/06/efdb683255bb4fba99945fd7560fcddd.jpg,더 웹툰- 예고살인.jpg,20129114,"장편 | 일반영화 | 공포(호러), 스릴러 | 104분 3초 | 15세이상관람가 | 한국","필름,2D",[주연] 이시영(지윤 ) | 엄기준(이기철 )
생일,https://www.kobis.or.kr/common/mast/movie/2019/04/b4a6b825911b4fe5a0cd14c7eb626110.jpg,생일.jpg,20183096,장편 | 일반영화 | 드라마 | 120분 9초 | 전체관람가 | 한국,2D,[주연] 설경구(정일) | 전도연(순남) | 신안진(석원아빠)
바람 바람 바람,https://www.kobis.or.kr/common/mast/movie/2018/03/b3ad353c49d149b1adbd2be94cee268f.jpg,바람 바람 바람.jpg,20153447,장편 | 일반영화 | 코미디 | 100분 16초 | 청소년관람불가 | 한국,2D,[주연] 이성민(석근) | 신하균 | 송지효 | 이엘
나니아 연대기: 새벽 출정호의 항해,https://www.kobis.or.kr/common/mast/movie/2011/12/0aaf1d4b16c84c7b90a841760fab5d35.jpg,나니아 연대기- 새벽 출정호의 항해.jpg,20101213,"장편 | 일반영화 | 판타지, 가족, 어드벤처 | 112분 0초 | 전체관람가 | 미국","필름,2D,3D,4D",[주연] 벤 반스 | 조지 헨리 | 윌 폴터 | 윌 폴터 | 스캔더 킨즈 | 윌리엄 모즐리 | 윌리엄 모즐리 | 안나 팝플웰
빅매치,https://www.kobis.or.kr/common/mast/movie/2014/11/5789254643c54902afdfff960194305b.jpg,빅매치.jpg,20134590,장편 | 일반영화 | 액션 | 112분 8초 | 15세이상관람가 | 한국,"필름,2D",[주연] 이정재(최익호) | 신하균(에이스) | 이성민(최영호) | 보아(수경)
"힘을 내요, 미스터 리",https://www.kobis.or.kr/common/mast/movie/2019/08/a348f11220974d4498f562274b4d34cd.jpg,"힘을 내요, 미스터 리.jpg",20187322,"장편 | 일반영화 | 코미디, 드라마 | 110분 59초 | 12세이상관람가 | 한국",2D,[주연] 차승원(철수 ) | 엄채영(샛별 ) | 박해준(영수) | 정원중(소방대장)
